1;101;अजन्मा;भोगणारा;जिसने जन्म न लिया हो;ज्याने भोगले आहे अथवा भोगणारा; देवकी के अजन्मे बालकों के विषय में भविष्यवाणी हुई थी; आजकाल रेल्वे आरक्षण मिळणे किती कठीण आहे हे फक्त भोगणारा व्यक्तीच जाणू शकतो.
2;102;अशुभ;अभोगी;जो शुभ न हो;भोगी नसलेला; बिल्ली के द्वारा रास्ता काटा जाना अशुभ माना जाता है; श्याम अजूनपर्यंत अभोगी आहे एकदा प्रसंग ओढावला की परिस्थितीचे गांभीर्य त्याच्या लक्षात येईल.
3;103;अप्रविष्ट;अनुभूती;जो प्रविष्ट न हुआ हो;मूल्ययुक्त, सकारात्मक आणि अनुभव घेणार्या व्यक्तीचे ज्यावर नियंत्रण नाही असा अनुभव; अप्रविष्ट अतिथियों को शीघ्र ही भीतर प्रवेश करने दिया जाय; सत्याची अनुभूती यावी लागते.
4;104;पवित्र स्थान;भाव;वह स्थान जो पवित्र माना जाता हो;मनात उत्पन्न होणारा विकार; हिंदुओं के लिए काशी एक पवित्र स्थान है; त्याच्या मनात कोणाही विषयी वाईट भाव येत नाही./ प्रीती, द्वेष, भय, क्रोध इत्यादी हे मनोविकार आहेत.
5;105;शिवालय;परवानगी;वह मंदिर जिसमें भगवान शिव की मूर्ति स्थापित की गई हो और जहाँ शिव की आराधना की जाती हो;एखादी गोष्ट करण्यासाठी अधिकारी व्यक्तीने दिलेला होकार; वह प्रत्येक सोमवार को शिवालय जाता है; आईवडिलांनी मला सहलीला जाण्याची परवानगी दिली.
6;106;अपवित्र स्थान;मंजुरी;वह स्थान जो पवित्र न हो;स्वीकार करण्याची क्रिया वा भाव; धार्मिक मान्यता है कि भूत-प्रेत अपवित्र स्थानों पर ही निवास करते हैं; सरकारने ह्या योजनेला मंजुरी दिली.
7;107;आगत;अनुमान;जो आया हुआ हो;एखाद्या गोष्टीविषयीचे अनिश्चित विधान; आगत व्यक्तियों का स्वागत करो; तो यंदा पहिला येईल असे माझे अनुमान आहे.
8;108;जन्मा;कल्पना;जो पैदा हुआ हो या जिसने जन्म लिया हो;मनात रेखाटलेले चित्र; जन्मे प्राणियों की मृत्यु निश्चित है; रामाबद्दल माझी कल्पना फार वेगळी होती
9;109;नैतिक कार्य;अनुमोदन;ऐसा कार्य जो नीतिपरक हो;एखाद्या विधानाला, प्रस्तावाला दिलेली मान्यता; नैतिक कार्यों के द्वारा ही हम समाज का उत्थान कर सकते हैं; सर्वांचे अनुमोदन मिळाल्यामुळे त्याची उमेदवारी नक्की झाली./ जगभरचे शिक्षणतज्ञ आणि बालमानसशास्त्रज्ञ मुलाच्या बौद्धिक विकासासाठी मातृभाषेतून शिक्षणाचा पुरस्कार करतात .
10;110;उत्पन्न;अनुमोदन;जिसकी उत्पत्ति हुई हो या जो उगा हो;एखादी सूचना किंवा गोष्टी ह्यांबाबत दर्शविलेली संमती; भारत में उत्पन्न चाय अधिक मात्रा में विदेशों को निर्यात की जाती है; माझ्या वक्तव्याला त्याने दिलेले अनुमोदन खोटे होते.
11;111;दुश्चरित्रता;प्रतिरोध;दुश्चरित्र होने की अवस्था या भाव;कोणतीही क्रिया थांबवण्याकरता त्याविरुद्ध केलेली क्रिया; दुश्चरित्रता से बचना चाहिए; मुखविवरात श्वासाला होणारा प्रतिरोध ध्वनी निर्माण करतो.
12;112;हेकड़ी;उभयचर;हेकड़ या अक्खड़ होने का भाव;पाण्यात आणि जमिनीवर किंवा हवेत अशा दोन्ही ठिकाणी वावरू शकणारा; श्याम के पिता पुलिस में हैं इसलिए वह हेकड़ी दिखाता है; बेडूक हा उभयचर प्राणी आहे
13;113;अत्याचार;आसक्त;दूसरों के साथ बलपूर्वक किया जानेवाला वह अनुचित व्यवहार जिससे उन्हें बहुत कष्ट हो;एखाद्या गोष्टीविषयीचे अत्याधिक आकर्षण असलेला; भारतीय जनता पर अँग्रेज़ों ने बहुत ही अत्याचार किए; मेनकेवर आसक्त विश्वामित्राची तपश्चर्या भंगली
14;114;घोटाला;निष्ठावंत;जान-बूझकर या मनमाने ढंग से उत्पन्न की जाने वाली अथवा अपटुता के कारण होने वाली गड़बड़ी;एखाद्याविषयी निष्ठा, श्रद्धा किंवा भक्ती असणारा; आजकल हर विभाग में कुछ न कुछ घोटाला हो रहा है; निष्ठावंत अनुयायी मिळाल्यामुळे शिवाजी महाराज हिंदवी स्वराज्य स्थापन करु शकले.
15;115;विटामिन;कामसू;प्रायः खाद्य पदार्थों में पाया जानेवाला एक प्रकार का पोषक तत्व;नेहमी काम करणारा; विटामिन छह प्रकार के होते हैं; राजू हा फार कामसू मुलगा आहे.
16;116;सच्चरित्रता;गुप्तदान;अच्छा चरित्र होने की अवस्था या भाव;आपले नाव जाहीर न करता दिलेले दान; सच्चरित्रता मनुष्य को महान् बनाती है; शेट दीनदयाळने गुप्तदानाद्वारे अनेक गरजवंतांची गरज भागवली.
17;117;मनमानी;भक्ती;किसी के न चाहते हुए भी अपनी इच्छानुसार कोई काम आदि करने या कराने की क्रिया ;देवदेवतांविषयी किंवा ईश्वराविषयी असणारे प्रेम; तुम्हारी मनमानी यहाँ नहीं चलेगी; नामदेवांच्या भक्तीमुळे विठ्ठलाने नैवेद्य खाल्ला
18;118;दुष्कर्म;अनेक;ऐसा कार्य जो नीति के विरुद्ध हो;संख्येने एकापेक्षा जास्त असणारा; दुष्ट व्यक्ति हमेशा दुष्कर्म में ही लिप्त रहता है; भारतात अनेक भाषा बोलल्या जातात.
